,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
9469,CN-277,INFINEON WUX XXX WHS,TSC,高科技/备件物流/化工行业事业部,INFIN,INFIN,,20210701,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,41.0,469.77,417.5,52.27,0.0,469.77,0.0,,0.1112672158715967,11.45780487804878,,,2021-08-05 07:35:11.0
9470,CN-284,KLA-TENCOR NKG XXX WHS,TSC,高科技/备件物流/化工行业事业部,KLATE,KLATE,,20210709,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,2.0,17.85,0.0,17.85,0.0,17.85,0.0,,1.0,8.925,,,2021-08-08 04:58:27.0
9471,CN-292,JLR FUO XXX WHS,Auto,汽车行业事业部,JLRXX,JLRXX,,20210606,202123,202106,202102,2021,1,,,,,,,,,,,,,,,,,,,,13.0,122.21999999999998,111.82,10.4,0.0,122.21999999999998,0.0,,0.0850924562264768,9.40153846153846,,,2021-08-05 07:35:11.0
9472,CN-295,GE PEK XXX WHS,EM,工业与制造行业事业部,GEABP,GEABP,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,4.0,33.81,17.68,16.130000000000003,0.0,33.81,0.0,,0.4770777876367938,8.4525,,,2021-08-09 05:03:41.0
9473,CN-296,LUCKIN PEK XXX WHS,CR,快消/零售行业事业部,LUCKI,LUCKI,14645.0,20210611,202124,202106,202102,2021,0,46.0,81.0,73878.0,73857.0,275494772.9876,184.1064,444.0,11758.0,40825.0,40416.0,278996194.721,,,,634.0,1625.0,272768.0,0.0,10200.0,18.0,195.09,140.58999999999995,54.5,0.0,195.09,0.0,0.5472196271172671,0.2793582449126044,10.838333333333331,0.0432912256742915,0.9567087743257084,2021-08-05 07:35:11.0
9474,CN-296,LUCKIN PEK XXX WHS,CR,快消/零售行业事业部,LUCKI,LUCKI,14645.0,20210613,202124,202106,202102,2021,1,47.0,70.0,56342.0,56280.0,233774222.94,370.7901,800.0,7633.0,23700.0,23473.0,138812903.75479996,,,,610.0,2582.0,230264.0,0.0,13912.0,15.0,154.4,125.9,28.5,0.0,154.4,0.0,0.4170753375977256,0.1845854922279792,10.293333333333331,0.0416524411061795,0.9583475588938204,2021-08-05 07:35:11.0
9475,CN-306,ECCO CAN HP0 WHS,CR,快消/零售行业事业部,ECCOX,ECCOX,658.0,20210626,202126,202106,202102,2021,1,,,,,,,,,,,,,,,346.0,0.0,14607.0,0.0,0.0,,,,,,,,,,,0.5258358662613982,0.4741641337386018,2021-08-05 07:35:11.0
9476,CN-307,LAM WUX XXX WHS,TSC,高科技/备件物流/化工行业事业部,LAMRE,LAMRE,,20210716,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3.0,23.52,0.0,23.52,0.0,23.52,0.0,,1.0,7.84,,,2021-08-09 05:03:41.0
9477,CN-312,SGMW-PDC TLN XXX WHS,Auto,汽车行业事业部,SGMWA,SGMWA,,20210626,202126,202106,202102,2021,1,,,,,,,,,,,,,,,,,,,,1.0,9.43,0.0,9.43,0.0,9.43,0.0,,1.0,9.43,,,2021-08-05 07:35:11.0
9478,CN-330,HERSHEY SHA KQ0 PKG,CR,快消/零售行业事业部,HERSH,HERSH,,20210706,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,15.0,123.5,83.5,40.0,0.0,123.5,0.0,,0.3238866396761133,8.233333333333333,,,2021-08-05 07:35:11.0
9479,CN-335,MIDEA SZV XXX WHS,TSC,高科技/备件物流/化工行业事业部,MIDEA,MIDEA,,20210807,202132,202108,202103,2021,1,,,,,,,,,,,,,,,,,,,,1.0,12.1,0.0,12.1,0.0,12.1,0.0,,1.0,12.1,,,2021-08-09 05:03:41.0
9480,CN-353,LENOVO-MCD SHA YX0 WHS,TSC,高科技/备件物流/化工行业事业部,LENXX,LENXX,155.0,20210731,202131,202107,202103,2021,1,,,,,,,,,,,,,,,59.0,1120.0,41717.0,0.0,0.0,,,,,,,,,,,0.3806451612903225,0.6193548387096774,2021-08-10 09:30:35.0
9481,CN-365,BLUEFOCUS SHA XXX WHS,CR,快消/零售行业事业部,OTYPE,OTYPE,,20210620,202125,202106,202102,2021,1,,,,,,,,,,,,,,,,,,,,6.0,56.0,46.5,9.5,0.0,56.0,0.0,,0.1696428571428571,9.333333333333334,,,2021-08-05 07:35:11.0
9482,CN-365,BLUEFOCUS SHA XXX WHS,CR,快消/零售行业事业部,OTYPE,OTYPE,,20210708,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,9.0,88.0,45.0,43.0,0.0,80.0,8.0,,0.4886363636363636,9.77777777777778,,,2021-08-07 05:24:46.0
9483,CN-368,HORMEL PEK XXX WHS,TD,运输产品部,HOMEL,HOMEL,4641.0,20210617,202125,202106,202102,2021,0,2.0,47.0,4575.0,4575.0,,,,,,,,,,,401.0,0.0,39829.0,0.0,0.0,2.0,16.7,0.0,16.7,0.0,8.35,8.35,0.0,1.0,8.35,0.0864037922861452,0.9135962077138547,2021-08-05 07:35:11.0
9484,CN-368,HORMEL PEK XXX WHS,TD,运输产品部,HOMEL,HOMEL,4641.0,20210723,202130,202107,202103,2021,0,2.0,2.0,12.0,12.0,,,25.0,34.0,1009.0,1009.0,9.9343,6963.739600000001,,,450.0,0.0,37177.0,0.0,0.0,,,,,,,,84.08333333333333,,,0.096961861667744,0.903038138332256,2021-08-10 09:30:35.0
9485,CN-372,,,,,,5.0,20210725,202130,202107,202103,2021,1,1.0,5.0,5300.0,5300.0,6427.200000000001,1.2448,11.0,77.0,1332.0,1332.0,1724.3739,,,,3.0,1313.0,315639.0,0.0,13807.0,,,,,,,,0.2513207547169811,,,0.6,0.4,2021-08-10 09:30:35.0
