ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75
CN-003,20210705,0,-1,0,27941,0,25189.4595,95.26,0,94.15625585,-1.104,0,10.58444444,9,0,102.43,95.26,98.845,98.845,100.040239,100.6375,-1.104,0.050180968,0.056450766
CN-003,20210618,56490,3,39949.88503,14449,0,25189.4595,78.26,2,81.04047733,2.78,0.255779784,11.18,7,0,94.56,78.26,92.08,88.3,92.906832,93.32,2.78,0.187156044,0.192435472
CN-003,20210628,53387,3,39949.88503,35293,0,25189.4595,94.56,0,94.15625585,-0.404,0.66107854,10.50666667,9,0,94.56,78.26,92.08,88.3,92.906832,93.32,-0.404,-0.017482741,-0.013113367
CN-003,20210610,258,3,39949.88503,71621,2,64403.94737,85.03,2,81.04047733,-3.99,277.6007752,10.62875,8,0,91.46,85.03,88.245,88.245,89.316881,89.8525,-3.99,0.0504161,0.056715277
CN-003,20210617,31200,3,39949.88503,25383,0,25189.4595,92.08,0,94.15625585,2.076,0.813557692,11.51,8,0,94.56,78.26,92.08,88.3,92.906832,93.32,2.076,0.008979496,0.013466551
CN-003,20210625,53706,3,39949.88503,54494,2,64403.94737,91.46,0,94.15625585,2.696,1.014672476,11.4325,8,0,91.46,85.03,88.245,88.245,89.316881,89.8525,2.696,-0.023432309,-0.01757599
CN-003,20210629,79702,1,101158.3877,26435,0,25189.4595,95.03,0,94.15625585,-0.874,0.331672982,10.55888889,9,0,95.82,95.03,95.455,95.44,95.610021,95.6625,-0.874,0.006103557,0.006655793
CN-003,20210708,116106,1,101158.3877,29372,0,25189.4595,95.82,0,94.15625585,-1.664,0.252975729,10.64666667,9,0,95.82,95.03,95.455,95.44,95.610021,95.6625,-1.664,-0.00219139,-0.001643707
CN-003,20210622,121579,1,101158.3877,22417,0,25189.4595,95.3,0,94.15625585,-1.144,0.184382171,10.58888889,9,0,95.82,95.03,95.455,95.44,95.610021,95.6625,-1.144,0.003253106,0.003803778
CN-003,20210624,74694,1,101158.3877,133859,1,123758.3155,97.06,0,94.15625585,-2.904,1.792098428,12.1325,8,0,97.06,97.06,97.06,97.06,97.06,97.06,-2.904,0,0
CN-003,20210608,107036,1,101158.3877,42387,0,25189.4595,95.61,0,94.15625585,-1.454,0.396006951,10.62333333,9,0,95.82,95.03,95.455,95.44,95.610021,95.6625,-1.454,2.20E-07,0.000549106
CN-003,20210607,110192,1,101158.3877,65616,2,64403.94737,95.53,0,94.15625585,-1.374,0.595469726,10.61444444,9,0,95.53,95.53,95.53,95.53,95.53,95.53,-1.374,0,0
CN-003,20210611,99600,1,101158.3877,98337,3,95639.74569,81.07,2,81.04047733,-0.03,0.987319277,11.58142857,7,0,81.07,81.07,81.07,81.07,81.07,81.07,-0.03,0,0
CN-003,20210621,250772,2,193257.9973,128855,1,123758.3155,87.07,2,81.04047733,-6.03,0.513833283,10.88375,8,0,97.37,83.51,85.665,88.0525,87.07103,89.645,-6.03,1.18E-05,0.029573906
