ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75,inc_day
CN-003,20210630,194622.0,2,193257.99732262382,33282.0,0,25189.459497206703,95.34,0,94.15625585023402,-1.184,0.1710084163147023,10.593333333333332,9.0,0,95.34,95.34,95.34,95.34,95.34,95.34,-1.184,0.0,0.0,20210811
CN-003,20210615,167461.0,2,193257.99732262382,116342.0,1,123758.31545741325,83.51,2,81.04047732696897,-2.47,0.6947408650372325,10.43875,8.0,0,97.37,83.51,85.66499999999999,88.0525,87.07103,89.645,-2.47,0.042641959046820596,0.07346425577775105,20210811
CN-003,20210706,172792.0,2,193257.99732262382,65136.0,2,64403.94736842105,103.4,3,104.37869318181816,0.979,0.3769618963840918,11.488888888888887,9.0,0,103.4,92.17,101.01,98.86000000000001,101.806826,102.20500000000001,0.979,-0.015407872340425578,-0.011557059961315215,20210811
CN-003,20210623,353760.0,0,353760.0,6894.0,0,25189.459497206703,83.13,2,81.04047732696897,-2.09,0.0194877883310719,10.39125,8.0,0,83.13,83.13,83.13,83.13,83.13,83.13,-2.09,0.0,0.0,20210811
CN-007,20210612,0.0,-1,0.0,2334269.0,3,2495815.368883312,90.64,1,79.28545314900157,-11.355,0.0,9.064,10.0,1,90.64,90.64,90.64,90.64,90.64,90.64,-11.355,0.0,0.0,20210811
CN-007,20210626,0.0,-1,0.0,0.0,-1,0.0,224.57,2,267.7792337164752,43.209,0.0,8.9828,25.0,1,224.57,13.59,105.845,112.4625,119.60049799999997,145.835,43.209,-0.46742442000267187,-0.3506033753395377,20210811
CN-007,20210606,0.0,-1,0.0,0.0,-1,0.0,13.59,1,79.28545314900157,65.695,0.0,6.795,2.0,1,224.57,13.59,105.845,112.4625,119.60049799999997,145.835,65.695,7.800625312729946,9.731052244297278,20210811
CN-007,20210710,0.0,-1,0.0,0.0,-1,0.0,119.59,1,79.28545314900157,-40.305,0.0,8.542142857142858,14.0,1,224.57,13.59,105.845,112.4625,119.60049799999997,145.835,-40.305,8.778325946960381e-05,0.2194581486746384,20210811
CN-007,20210704,0.0,-1,0.0,0.0,-1,0.0,92.1,1,79.28545314900157,-12.815,0.0,9.21,10.0,1,224.57,13.59,105.845,112.4625,119.60049799999997,145.835,-12.815,0.2985938979370248,0.5834419109663411,20210811
CN-007,20210709,3076691.0,3,3271280.97640118,1953517.0,3,2495815.368883312,266.63000000000005,2,267.7792337164752,1.149,0.6349409154185455,9.522500000000004,28.0,0,266.63000000000005,266.63000000000005,266.63000000000005,266.63000000000005,266.63000000000005,266.63000000000005,1.149,0.0,0.0,20210811
CN-007,20210628,3471697.0,3,3271280.97640118,5262931.0,0,5787470.402150538,355.98999999999995,3,353.34714285714284,-2.643,1.5159534371807215,12.275517241379308,29.0,0,355.98999999999995,355.98999999999995,355.98999999999995,355.98999999999995,355.98999999999995,355.98999999999995,-2.643,0.0,0.0,20210811
CN-007,20210616,1362303.0,0,1362303.0,1057712.0,2,686850.9622266402,287.1,2,267.7792337164752,-19.321,0.7764146449064562,9.9,29.0,0,287.1,287.1,287.1,287.1,287.1,287.1,-19.321,0.0,0.0,20210811
CN-007,20210630,1881883.0,1,2314544.1289617494,254961.0,2,686850.9622266402,351.18999999999994,3,353.34714285714284,2.157,0.1354818551418977,12.109999999999998,29.0,0,351.18999999999994,271.79,311.49,311.49,324.72597999999994,331.34,2.157,-0.0753552777698682,-0.05652211053845488,20210811
CN-007,20210608,2133884.0,1,2314544.1289617494,3571548.0,3,2495815.368883312,273.08000000000004,2,267.7792337164752,-5.301,1.6737310931615776,9.752857142857144,28.0,0,273.08000000000004,273.08000000000004,273.08000000000004,273.08000000000004,273.08000000000004,273.08000000000004,-5.301,0.0,0.0,20210811
CN-007,20210624,2517608.0,1,2314544.1289617494,84520095.0,1,84520095.0,319.17,0,315.4662962962962,-3.704,33.571586601250075,11.005862068965516,29.0,0,319.17,319.17,319.17,319.17,319.17,319.17,-3.704,0.0,0.0,20210811
CN-007,20210618,2199724.0,1,2314544.1289617494,6787342.0,0,5787470.402150538,272.03,2,267.7792337164752,-4.251,3.085542549883531,9.715357142857142,28.0,0,272.03,272.03,272.03,272.03,272.03,272.03,-4.251,0.0,0.0,20210811
CN-007,20210622,2716281.0,1,2314544.1289617494,752374.0,2,686850.9622266402,271.79,2,267.7792337164752,-4.011,0.2769868065932795,10.066296296296295,27.0,0,351.18999999999994,271.79,311.49,311.49,324.72597999999994,331.34,-4.011,0.19476794584053833,0.21910298392140973,20210811
CN-007,20210702,664856.0,2,299689.0497017893,2456757.0,3,2495815.368883312,311.67,0,315.4662962962962,3.796,3.695171586027651,11.131071428571428,28.0,0,311.67,280.73,296.20000000000005,296.20000000000005,301.357698,303.935,3.796,-0.033087246125709846,-0.024817916385921047,20210811
CN-007,20210707,231040.0,2,299689.0497017893,5424369.0,0,5787470.402150538,265.42,2,267.7792337164752,2.359,23.47805141966759,9.830370370370373,27.0,0,265.42,265.42,265.42,265.42,265.42,265.42,2.359,0.0,0.0,20210811
